,question,answers,gpt_answers,acc@1,acc@3,acc@majority,acc@majority_3,metadata_qid,metadata_question,metadata_gold_answer,metadata_prev_model_answer,decomposition_0
27,"{'question': 'In 2016, who was the host of the longest running talk show?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What was the longest running talk show?\nIntermediate answer: The longest running talk show is The Tonight Show.\nFollow up: Who was the host of The Tonight Show in 2016?\nIntermediate answer: The host of The Tonight Show in 2016 was Jimmy Fallon.\nSo the final answer is: Jimmy Fallon.\n'], 'decompsition_steps': [[{'question': 'What was the longest running talk show?', 'answer': 'The longest running talk show is The Tonight Show.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who was the host of The Tonight Show in 2016?', 'answer': 'The host of The Tonight Show in 2016 was Jimmy Fallon.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Jimmy Fallon.'}]], 'traces_entailments': None}",,['Jimmy Fallon'],1,1,1,1,32,"In 2016, who was the host of the longest running talk show?",Jimmy Fallon,,"
Are follow up questions needed here: Yes.
Follow up: What was the longest running talk show?
Intermediate answer: The longest running talk show is The Tonight Show.
Follow up: Who was the host of The Tonight Show in 2016?
Intermediate answer: The host of The Tonight Show in 2016 was Jimmy Fallon.
So the final answer is: Jimmy Fallon.
"
28,"{'question': 'When was the person Russ Hanneman is based on born?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who is Russ Hanneman based on?\nIntermediate answer: Russ Hanneman is based on Mark Cuban.\nFollow up: When was Mark Cuban born?\nIntermediate answer: Mark Cuban was born on July 31, 1958.\nSo the final answer is: July 31, 1958.\n'], 'decompsition_steps': [[{'question': 'Who is Russ Hanneman based on?', 'answer': 'Russ Hanneman is based on Mark Cuban.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was Mark Cuban born?', 'answer': 'Mark Cuban was born on July 31, 1958.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'July 31, 1958.'}]], 'traces_entailments': None}",,"['July 31, 1958']",1,1,1,1,33,When was the person Russ Hanneman is based on born?,"July 31, 1958",,"
Are follow up questions needed here: Yes.
Follow up: Who is Russ Hanneman based on?
Intermediate answer: Russ Hanneman is based on Mark Cuban.
Follow up: When was Mark Cuban born?
Intermediate answer: Mark Cuban was born on July 31, 1958.
So the final answer is: July 31, 1958.
"
29,"{'question': ""When was the first location of the world's largest coffeehouse chain opened?"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nAre follow up questions needed here: Yes.\nFollow up: What is the world's largest coffeehouse chain?\nIntermediate answer: The world's largest coffeehouse chain is Starbucks.\nFollow up: When was Starbucks founded?\nIntermediate answer: Starbucks was founded on March 31, 1971.\nFollow up: Where was Starbucks founded?\nIntermediate answer: Starbucks was founded in Seattle, Washington.\nFollow up: When was Seattle founded?\nIntermediate answer: Seattle was founded on November 13""], 'decompsition_steps': [[{'question': ""What is the world's largest coffeehouse chain?"", 'answer': ""The world's largest coffeehouse chain is Starbucks."", 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was Starbucks founded?', 'answer': 'Starbucks was founded on March 31, 1971.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Where was Starbucks founded?', 'answer': 'Starbucks was founded in Seattle, Washington.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was Seattle founded?', 'answer': 'Seattle was founded on November 13', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}]], 'traces_entailments': None}",,[],FALSE,FALSE,FALSE,FALSE,34,When was the first location of the world's largest coffeehouse chain opened?,"March 30, 1971",,"
Are follow up questions needed here: Yes.
Follow up: What is the world's largest coffeehouse chain?
Intermediate answer: The world's largest coffeehouse chain is Starbucks.
Follow up: When was Starbucks founded?
Intermediate answer: Starbucks was founded on March 31, 1971.
Follow up: Where was Starbucks founded?
Intermediate answer: Starbucks was founded in Seattle, Washington.
Follow up: When was Seattle founded?
Intermediate answer: Seattle was founded on November 13"
30,"{'question': 'What is the maximum airspeed (in km/h) of the third fastest bird?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the third fastest bird?\nIntermediate answer: The third fastest bird is the Gyrfalcon.\nFollow up: What is the maximum airspeed (in km/h) of the Gyrfalcon?\nIntermediate answer: The maximum airspeed of the Gyrfalcon is 320 km/h.\nSo the final answer is: 320 km/h.\n'], 'decompsition_steps': [[{'question': 'What is the third fastest bird?', 'answer': 'The third fastest bird is the Gyrfalcon.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is the maximum airspeed (in km/h) of the Gyrfalcon?', 'answer': 'The maximum airspeed of the Gyrfalcon is 320 km/h.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '320 km/h.'}]], 'traces_entailments': None}",,['320 km/h'],0.5,0.5,0.5,0.5,35,What is the maximum airspeed (in km/h) of the third fastest bird?,169 km/h,,"
Are follow up questions needed here: Yes.
Follow up: What is the third fastest bird?
Intermediate answer: The third fastest bird is the Gyrfalcon.
Follow up: What is the maximum airspeed (in km/h) of the Gyrfalcon?
Intermediate answer: The maximum airspeed of the Gyrfalcon is 320 km/h.
So the final answer is: 320 km/h.
"
31,"{'question': 'Who was the head of NASA during Apollo 11?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: When was Apollo 11?\nIntermediate answer: Apollo 11 was in 1969.\nFollow up: Who was the head of NASA in 1969?\nIntermediate answer: The head of NASA in 1969 was Thomas O. Paine.\nSo the final answer is: Thomas O. Paine.\n'], 'decompsition_steps': [[{'question': 'When was Apollo 11?', 'answer': 'Apollo 11 was in 1969.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who was the head of NASA in 1969?', 'answer': 'The head of NASA in 1969 was Thomas O. Paine.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Thomas O. Paine.'}]], 'traces_entailments': None}",,['Thomas O. Paine'],1,1,1,1,36,Who was the head of NASA during Apollo 11?,Thomas O. Paine,,"
Are follow up questions needed here: Yes.
Follow up: When was Apollo 11?
Intermediate answer: Apollo 11 was in 1969.
Follow up: Who was the head of NASA in 1969?
Intermediate answer: The head of NASA in 1969 was Thomas O. Paine.
So the final answer is: Thomas O. Paine.
"
32,"{'question': 'What is the official color of the third oldest surviving university?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the third oldest surviving university?\nIntermediate answer: The third oldest surviving university is the University of Bologna.\nFollow up: What is the official color of the University of Bologna?\nIntermediate answer: The official color of the University of Bologna is red.\nSo the final answer is: Red.\n'], 'decompsition_steps': [[{'question': 'What is the third oldest surviving university?', 'answer': 'The third oldest surviving university is the University of Bologna.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is the official color of the University of Bologna?', 'answer': 'The official color of the University of Bologna is red.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Red.'}]], 'traces_entailments': None}",,['Red'],0,0,0,0,37,What is the official color of the third oldest surviving university?,Cambridge Blue,,"
Are follow up questions needed here: Yes.
Follow up: What is the third oldest surviving university?
Intermediate answer: The third oldest surviving university is the University of Bologna.
Follow up: What is the official color of the University of Bologna?
Intermediate answer: The official color of the University of Bologna is red.
So the final answer is: Red.
"
33,"{'question': 'What was the death toll of the most intense Atlantic hurricane?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What was the most intense Atlantic hurricane?\nIntermediate answer: The most intense Atlantic hurricane was the Great Miami Hurricane.\nFollow up: What was the death toll of the Great Miami Hurricane?\nIntermediate answer: The death toll of the Great Miami Hurricane was 403.\nSo the final answer is: 403.\n'], 'decompsition_steps': [[{'question': 'What was the most intense Atlantic hurricane?', 'answer': 'The most intense Atlantic hurricane was the Great Miami Hurricane.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What was the death toll of the Great Miami Hurricane?', 'answer': 'The death toll of the Great Miami Hurricane was 403.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '403.'}]], 'traces_entailments': None}",,['403'],0,0,0,0,38,What was the death toll of the most intense Atlantic hurricane?,52,,"
Are follow up questions needed here: Yes.
Follow up: What was the most intense Atlantic hurricane?
Intermediate answer: The most intense Atlantic hurricane was the Great Miami Hurricane.
Follow up: What was the death toll of the Great Miami Hurricane?
Intermediate answer: The death toll of the Great Miami Hurricane was 403.
So the final answer is: 403.
"
34,"{'question': 'The fourth largest city in Germany was originally called what?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the fourth largest city in Germany?\nIntermediate answer: The fourth largest city in Germany is Munich.\nFollow up: What was Munich originally called?\nIntermediate answer: Munich was originally called Munchen.\nSo the final answer is: Munchen.\n'], 'decompsition_steps': [[{'question': 'What is the fourth largest city in Germany?', 'answer': 'The fourth largest city in Germany is Munich.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What was Munich originally called?', 'answer': 'Munich was originally called Munchen.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Munchen.'}]], 'traces_entailments': None}",,['Munchen'],0,0,0,0,39,The fourth largest city in Germany was originally called what?,Colonia Claudia Ara Agrippinensium,,"
Are follow up questions needed here: Yes.
Follow up: What is the fourth largest city in Germany?
Intermediate answer: The fourth largest city in Germany is Munich.
Follow up: What was Munich originally called?
Intermediate answer: Munich was originally called Munchen.
So the final answer is: Munchen.
"
35,"{'question': 'In what year was the tallest lighthouse completed?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the tallest lighthouse?\nIntermediate answer: The tallest lighthouse is the Jeddah Light.\nFollow up: When was the Jeddah Light completed?\nIntermediate answer: The Jeddah Light was completed in 1968.\nSo the final answer is: 1968.\n'], 'decompsition_steps': [[{'question': 'What is the tallest lighthouse?', 'answer': 'The tallest lighthouse is the Jeddah Light.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was the Jeddah Light completed?', 'answer': 'The Jeddah Light was completed in 1968.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1968.'}]], 'traces_entailments': None}",,['1968'],0,0,0,0,40,In what year was the tallest lighthouse completed?,1902,,"
Are follow up questions needed here: Yes.
Follow up: What is the tallest lighthouse?
Intermediate answer: The tallest lighthouse is the Jeddah Light.
Follow up: When was the Jeddah Light completed?
Intermediate answer: The Jeddah Light was completed in 1968.
So the final answer is: 1968.
"
36,"{'question': 'When was the person who delivered the ""Quit India"" speech born?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who delivered the ""Quit India"" speech?\nIntermediate answer: The person who delivered the ""Quit India"" speech was Mahatma Gandhi.\nFollow up: When was Mahatma Gandhi born?\nIntermediate answer: Mahatma Gandhi was born on October 2, 1869.\nSo the final answer is: October 2, 1869.\n'], 'decompsition_steps': [[{'question': 'Who delivered the ""Quit India"" speech?', 'answer': 'The person who delivered the ""Quit India"" speech was Mahatma Gandhi.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was Mahatma Gandhi born?', 'answer': 'Mahatma Gandhi was born on October 2, 1869.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'October 2, 1869.'}]], 'traces_entailments': None}",,"['October 2, 1869']",1,1,1,1,41,"When was the person who delivered the ""Quit India"" speech born?","October 2, 1869",,"
Are follow up questions needed here: Yes.
Follow up: Who delivered the ""Quit India"" speech?
Intermediate answer: The person who delivered the ""Quit India"" speech was Mahatma Gandhi.
Follow up: When was Mahatma Gandhi born?
Intermediate answer: Mahatma Gandhi was born on October 2, 1869.
So the final answer is: October 2, 1869.
"
37,"{'question': 'In what year was the current tallest wooden lattice tower completed?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the current tallest wooden lattice tower?\nIntermediate answer: The current tallest wooden lattice tower is the Kaieteur National Park.\nFollow up: When was the Kaieteur National Park completed?\nIntermediate answer: The Kaieteur National Park was completed in 1929.\nSo the final answer is: 1929.\n'], 'decompsition_steps': [[{'question': 'What is the current tallest wooden lattice tower?', 'answer': 'The current tallest wooden lattice tower is the Kaieteur National Park.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was the Kaieteur National Park completed?', 'answer': 'The Kaieteur National Park was completed in 1929.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1929.'}]], 'traces_entailments': None}",,['1929'],0,0,0,0,42,In what year was the current tallest wooden lattice tower completed?,1934,,"
Are follow up questions needed here: Yes.
Follow up: What is the current tallest wooden lattice tower?
Intermediate answer: The current tallest wooden lattice tower is the Kaieteur National Park.
Follow up: When was the Kaieteur National Park completed?
Intermediate answer: The Kaieteur National Park was completed in 1929.
So the final answer is: 1929.
"
38,"{'question': 'In what year was the government department where the internet originated at founded?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What government department was the internet originated at?\nIntermediate answer: The government department where the internet originated at was the Advanced Research Projects Agency (ARPA).\nFollow up: When was the Advanced Research Projects Agency founded?\nIntermediate answer: The Advanced Research Projects Agency was founded in 1958.\nSo the final answer is: 1958.\n'], 'decompsition_steps': [[{'question': 'What government department was the internet originated at?', 'answer': 'The government department where the internet originated at was the Advanced Research Projects Agency (ARPA).', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was the Advanced Research Projects Agency founded?', 'answer': 'The Advanced Research Projects Agency was founded in 1958.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1958.'}]], 'traces_entailments': None}",,['1958'],0,0,0,0,43,In what year was the government department where the internet originated at founded?,1947,,"
Are follow up questions needed here: Yes.
Follow up: What government department was the internet originated at?
Intermediate answer: The government department where the internet originated at was the Advanced Research Projects Agency (ARPA).
Follow up: When was the Advanced Research Projects Agency founded?
Intermediate answer: The Advanced Research Projects Agency was founded in 1958.
So the final answer is: 1958.
"
39,"{'question': ""Which team won in women's volleyball in the most recent Summer Olympics that was held in London?"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nAre follow up questions needed here: Yes.\nFollow up: When was the most recent Summer Olympics that was held in London?\nIntermediate answer: The most recent Summer Olympics that was held in London was in 2012.\nFollow up: Which team won in women's volleyball in the 2012 Summer Olympics?\nIntermediate answer: The team that won in women's volleyball in the 2012 Summer Olympics was the United States.\nSo the final answer is: The United States.\n""], 'decompsition_steps': [[{'question': 'When was the most recent Summer Olympics that was held in London?', 'answer': 'The most recent Summer Olympics that was held in London was in 2012.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': ""Which team won in women's volleyball in the 2012 Summer Olympics?"", 'answer': ""The team that won in women's volleyball in the 2012 Summer Olympics was the United States."", 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'The United States.'}]], 'traces_entailments': None}",,['The United States'],0,0,0,0,44,Which team won in women's volleyball in the most recent Summer Olympics that was held in London?,Brazil,,"
Are follow up questions needed here: Yes.
Follow up: When was the most recent Summer Olympics that was held in London?
Intermediate answer: The most recent Summer Olympics that was held in London was in 2012.
Follow up: Which team won in women's volleyball in the 2012 Summer Olympics?
Intermediate answer: The team that won in women's volleyball in the 2012 Summer Olympics was the United States.
So the final answer is: The United States.
"
40,"{'question': ""When did Nirvana's second most selling studio album come out?"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nAre follow up questions needed here: Yes.\nFollow up: What is Nirvana's second most selling studio album?\nIntermediate answer: Nirvana's second most selling studio album is Nevermind.\nFollow up: When did Nevermind come out?\nIntermediate answer: Nevermind came out on September 24, 1991.\nSo the final answer is: September 24, 1991.\n""], 'decompsition_steps': [[{'question': ""What is Nirvana's second most selling studio album?"", 'answer': ""Nirvana's second most selling studio album is Nevermind."", 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When did Nevermind come out?', 'answer': 'Nevermind came out on September 24, 1991.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'September 24, 1991.'}]], 'traces_entailments': None}",,"['September 24, 1991']",0.3333333333,0.3333333333,0.3333333333,0.3333333333,45,When did Nirvana's second most selling studio album come out?,"September 13, 1993",,"
Are follow up questions needed here: Yes.
Follow up: What is Nirvana's second most selling studio album?
Intermediate answer: Nirvana's second most selling studio album is Nevermind.
Follow up: When did Nevermind come out?
Intermediate answer: Nevermind came out on September 24, 1991.
So the final answer is: September 24, 1991.
"
41,"{'question': 'Who succeeded the longest reigning Roman emperor?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the longest reigning Roman emperor?\nIntermediate answer: The longest reigning Roman emperor was Augustus.\nFollow up: Who succeeded Augustus?\nIntermediate answer: Augustus was succeeded by Tiberius.\nSo the final answer is: Tiberius.\n'], 'decompsition_steps': [[{'question': 'Who was the longest reigning Roman emperor?', 'answer': 'The longest reigning Roman emperor was Augustus.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who succeeded Augustus?', 'answer': 'Augustus was succeeded by Tiberius.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Tiberius.'}]], 'traces_entailments': None}",,['Tiberius'],1,1,1,1,46,Who succeeded the longest reigning Roman emperor?,Tiberius,,"
Are follow up questions needed here: Yes.
Follow up: Who was the longest reigning Roman emperor?
Intermediate answer: The longest reigning Roman emperor was Augustus.
Follow up: Who succeeded Augustus?
Intermediate answer: Augustus was succeeded by Tiberius.
So the final answer is: Tiberius.
"
42,"{'question': 'The material out of which the Great Sphinx of Giza is made of is mainly composed of what mineral?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the Great Sphinx of Giza?\nIntermediate answer: The Great Sphinx of Giza is a statue of a reclining lion with a human head.\nFollow up: What is the main mineral that the Great Sphinx of Giza is made of?\nIntermediate answer: The main mineral that the Great Sphinx of Giza is made of is limestone.\nSo the final answer is: Limestone.\n'], 'decompsition_steps': [[{'question': 'What is the Great Sphinx of Giza?', 'answer': 'The Great Sphinx of Giza is a statue of a reclining lion with a human head.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is the main mineral that the Great Sphinx of Giza is made of?', 'answer': 'The main mineral that the Great Sphinx of Giza is made of is limestone.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Limestone.'}]], 'traces_entailments': None}",,['Limestone'],0,0,0,0,47,The material out of which the Great Sphinx of Giza is made of is mainly composed of what mineral?,calcite,,"
Are follow up questions needed here: Yes.
Follow up: What is the Great Sphinx of Giza?
Intermediate answer: The Great Sphinx of Giza is a statue of a reclining lion with a human head.
Follow up: What is the main mineral that the Great Sphinx of Giza is made of?
Intermediate answer: The main mineral that the Great Sphinx of Giza is made of is limestone.
So the final answer is: Limestone.
"
43,"{'question': 'Who directed the highest grossing film?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the highest grossing film?\nIntermediate answer: The highest grossing film is Avatar.\nFollow up: Who directed Avatar?\nIntermediate answer: Avatar was directed by James Cameron.\nSo the final answer is: James Cameron.\n'], 'decompsition_steps': [[{'question': 'What is the highest grossing film?', 'answer': 'The highest grossing film is Avatar.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who directed Avatar?', 'answer': 'Avatar was directed by James Cameron.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'James Cameron.'}]], 'traces_entailments': None}",,['James Cameron'],0.5,0.5,0.5,0.5,48,Who directed the highest grossing film?,James Cameroon,,"
Are follow up questions needed here: Yes.
Follow up: What is the highest grossing film?
Intermediate answer: The highest grossing film is Avatar.
Follow up: Who directed Avatar?
Intermediate answer: Avatar was directed by James Cameron.
So the final answer is: James Cameron.
"
44,"{'question': 'When did the war that Neil Armstrong served in end?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What war did Neil Armstrong serve in?\nIntermediate answer: Neil Armstrong served in the Korean War.\nFollow up: When did the Korean War end?\nIntermediate answer: The Korean War ended on July 27, 1953.\nSo the final answer is: July 27, 1953.\n'], 'decompsition_steps': [[{'question': 'What war did Neil Armstrong serve in?', 'answer': 'Neil Armstrong served in the Korean War.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When did the Korean War end?', 'answer': 'The Korean War ended on July 27, 1953.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'July 27, 1953.'}]], 'traces_entailments': None}",,"['July 27, 1953']",1,1,1,1,49,When did the war that Neil Armstrong served in end?,"July 27, 1953",,"
Are follow up questions needed here: Yes.
Follow up: What war did Neil Armstrong serve in?
Intermediate answer: Neil Armstrong served in the Korean War.
Follow up: When did the Korean War end?
Intermediate answer: The Korean War ended on July 27, 1953.
So the final answer is: July 27, 1953.
"
45,"{'question': 'Who is the father of the father of the hydrogen bomb?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who is the father of the hydrogen bomb?\nIntermediate answer: The father of the hydrogen bomb is Edward Teller.\nFollow up: Who is the father of Edward Teller?\nIntermediate answer: The father of Edward Teller is Adolf Teller.\nSo the final answer is: Adolf Teller.\n'], 'decompsition_steps': [[{'question': 'Who is the father of the hydrogen bomb?', 'answer': 'The father of the hydrogen bomb is Edward Teller.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who is the father of Edward Teller?', 'answer': 'The father of Edward Teller is Adolf Teller.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Adolf Teller.'}]], 'traces_entailments': None}",,['Adolf Teller'],0.5,0.5,0.5,0.5,50,Who is the father of the father of the hydrogen bomb?,Max Teller,,"
Are follow up questions needed here: Yes.
Follow up: Who is the father of the hydrogen bomb?
Intermediate answer: The father of the hydrogen bomb is Edward Teller.
Follow up: Who is the father of Edward Teller?
Intermediate answer: The father of Edward Teller is Adolf Teller.
So the final answer is: Adolf Teller.
"
46,"{'question': ""What's the capital of the state that the Space Needle is at?"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nAre follow up questions needed here: Yes.\nFollow up: What's the Space Needle?\nIntermediate answer: The Space Needle is a tower in Seattle, Washington.\nFollow up: What's the capital of Washington?\nIntermediate answer: The capital of Washington is Olympia.\nSo the final answer is: Olympia.\n""], 'decompsition_steps': [[{'question': ""What's the Space Needle?"", 'answer': 'The Space Needle is a tower in Seattle, Washington.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': ""What's the capital of Washington?"", 'answer': 'The capital of Washington is Olympia.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Olympia.'}]], 'traces_entailments': None}",,['Olympia'],1,1,1,1,51,What's the capital of the state that the Space Needle is at?,Olympia,,"
Are follow up questions needed here: Yes.
Follow up: What's the Space Needle?
Intermediate answer: The Space Needle is a tower in Seattle, Washington.
Follow up: What's the capital of Washington?
Intermediate answer: The capital of Washington is Olympia.
So the final answer is: Olympia.
"
